tingkat setelah parent,parent,similarity
4,sedimen,"[('endapan', 0.8596692681312561), ('batuan', 0.8357980847358704), ('intrusi', 0.7837346196174622), ('bebatuan', 0.7522546052932739), ('pengendapan', 0.7433154582977295), ('batupasir', 0.7416407465934753), ('magma', 0.735719621181488), ('rekahan', 0.7305310368537903), ('metamorf', 0.7260410785675049), ('lempung', 0.7221141457557678)]"
4,kebencian,"[('kemarahan', 0.7925094366073608), ('kecemburuan', 0.7890376448631287), ('ketidaksukaan', 0.7547131776809692), ('amarah', 0.749453067779541), ('fitnah', 0.7342843413352966), ('penghinaan', 0.7337988615036011), ('kecurigaan', 0.7229411005973816), ('ketidakadilan', 0.7168337106704712), ('ketidakpuasan', 0.7164695262908936), ('kekejaman', 0.7110674381256104)]"
4,kecemburuan,"[('kebencian', 0.7890376448631287), ('kemarahan', 0.7386142611503601), ('kekecewaan', 0.7276532053947449), ('amarah', 0.7143174409866333), ('permusuhan', 0.7105106115341187), ('ketidakpuasan', 0.7062421441078186), ('kegelisahan', 0.699030339717865), ('ketidak', 0.6975048780441284), ('ketidaksukaan', 0.6926464438438416), ('kecemasan', 0.6868250370025635)]"
4,dihantam,"[('dibombardir', 0.7497983574867249), ('menghantam', 0.728334903717041), ('diterjang', 0.7267325520515442), ('ditembaki', 0.6942547559738159), ('diguncang', 0.6918852925300598), ('menerjang', 0.6729283928871155), ('tertahan', 0.6566292643547058), ('ditenggelamkan', 0.6542792320251465), ('diserang', 0.6505404710769653), ('dibom', 0.643794596195221)]"
4,terpaan,"[('tertiup', 0.7002904415130615), ('sepoi', 0.6792373061180115), ('anginan', 0.66677325963974), ('semilir', 0.6635335683822632), ('perangin', 0.6369569301605225), ('windbreak', 0.6364834308624268), ('bertiup', 0.6359031796455383), ('hembusan', 0.6177996397018433), ('terjangan', 0.6160893440246582), ('tiupan', 0.6155993938446045)]"
4,sambaran,"[('tersambar', 0.8753737807273865), ('disambar', 0.771644115447998), ('petir', 0.755416989326477), ('kilatan', 0.6614442467689514), ('__', 0.6546329855918884), ('terjangan', 0.5898362398147583), ('sepandjang', 0.5759475827217102), ('menyambar', 0.5646576285362244), ('hantaman', 0.5553935766220093), ('kilat', 0.5515700578689575)]"
4,seismik,"[('tektonik', 0.7101988792419434), ('kegempaan', 0.67616206407547), ('sesar', 0.6467933058738708), ('vulkanisme', 0.644353985786438), ('vulkanik', 0.6365290880203247), ('geologis', 0.6222352385520935), ('pemetaan', 0.617220938205719), ('geodetik', 0.6156283020973206), ('subduksi', 0.6091924905776978), ('refraksi', 0.606981098651886)]"
4,tektonik,"[('patahan', 0.8039283156394958), ('subduksi', 0.7912003993988037), ('lempeng', 0.7438281178474426), ('tektonika', 0.7408828735351562), ('vulkanisme', 0.7399376630783081), ('vulkanik', 0.7333250045776367), ('sesar', 0.7304373979568481), ('gunungapi', 0.7288708090782166), ('seismik', 0.7101988792419434), ('geologis', 0.6806240081787109)]"
4,vulkanisme,"[('vulkanik', 0.7677695751190186), ('tektonik', 0.7399377822875977), ('vulkanis', 0.7279935479164124), ('alterasi', 0.7189160585403442), ('sedimentasi', 0.7090370059013367), ('pengendapan', 0.705014169216156), ('gunungapi', 0.7018644213676453), ('subduksi', 0.6933923959732056), ('rekahan', 0.6931691765785217), ('pelapukan', 0.6929407119750977)]"
4,sesar,"[('patahan', 0.8548002243041992), ('subduksi', 0.7510280609130859), ('tektonik', 0.7304373383522034), ('lempeng', 0.6920987963676453), ('perlapisan', 0.6648420095443726), ('rekahan', 0.6629089713096619), ('retakan', 0.6591022610664368), ('seismik', 0.6467931866645813), ('deformasi', 0.6311411261558533), ('semangko', 0.6194347143173218)]"
4,upwelling,"[('vulkanisme', 0.5820438861846924), ('fluvial', 0.5643628835678101), ('erosi', 0.5518422722816467), ('intrusi', 0.5508975982666016), ('gempabumi', 0.5462217330932617), ('estuari', 0.5445953011512756), ('subduksi', 0.5411044359207153), ('sedimentasi', 0.5390492677688599), ('tektonik', 0.5337954163551331), ('seismik', 0.5308592319488525)]"
4,patahan,"[('sesar', 0.854800283908844), ('subduksi', 0.811022162437439), ('tektonik', 0.8039282560348511), ('retakan', 0.7543928027153015), ('lempeng', 0.7409219145774841), ('perlapisan', 0.7260608673095703), ('gunungapi', 0.7212918400764465), ('rekahan', 0.7200393676757812), ('vulkanik', 0.68558269739151), ('cekungan', 0.671520471572876)]"
4,tersapu,"[('disapu', 0.6915789246559143), ('diterjang', 0.6823347210884094), ('terbawa', 0.6756319999694824), ('menerjang', 0.6448074579238892), ('terhempas', 0.6435374021530151), ('hanyut', 0.6303992867469788), ('dihantam', 0.6253318190574646), ('tertimbun', 0.6157460808753967), ('terendam', 0.6028669476509094), ('menghantam', 0.5973610281944275)]"
4,tertimpa,"[('ditimpa', 0.7146853804588318), ('roboh', 0.7142046689987183), ('menimpa', 0.6880976557731628), ('menimpanya', 0.6831178069114685), ('diterjang', 0.6816258430480957), ('ambruk', 0.6527149677276611), ('tersangkut', 0.646185040473938), ('menabrak', 0.644920289516449), ('terkena', 0.632175862789154), ('terbentur', 0.6319471001625061)]"
4,lantak,"[('diterjang', 0.6670973896980286), ('luluh', 0.6588786840438843), ('tertimpa', 0.5609815716743469), ('tercerai', 0.5563454627990723), ('terjangan', 0.5341881513595581), ('hancur', 0.5332445502281189), ('porandakan', 0.5304332375526428), ('roboh', 0.5291483402252197), ('porak', 0.5256263613700867), ('hanguskan', 0.5252609848976135)]"
4,terhempas,"[('terlempar', 0.7031364440917969), ('terperosok', 0.6890580058097839), ('terjatuh', 0.6684775352478027), ('tersapu', 0.6435373425483704), ('tergelincir', 0.6427769064903259), ('menabrak', 0.6386504173278809), ('menerjang', 0.6370425820350647), ('diterjang', 0.6364015340805054), ('meluncur', 0.6083752512931824), ('ditumpanginya', 0.603198230266571)]"
4,siklon,"[('badai', 0.6814990043640137), ('tropis', 0.6533795595169067), ('taifun', 0.6532625555992126), ('topan', 0.6476064920425415), ('muson', 0.6383529305458069), ('jtwc', 0.6282274127006531), ('hurikan', 0.5935469269752502), ('monsun', 0.5795190334320068), ('subtropis', 0.5730452537536621), ('antisiklon', 0.5460999011993408)]"
4,hurikan,"[('taifun', 0.6468178033828735), ('tornado', 0.6148925423622131), ('siklon', 0.5935469269752502), ('cyclone', 0.5524038672447205), ('flare', 0.5416256785392761), ('hurricane', 0.5378056168556213), ('topan', 0.5376402139663696), ('bombardir', 0.5298952460289001), ('badai', 0.5293518900871277), ('bomb', 0.4976136386394501)]"
4,badai,"[('topan', 0.6982187032699585), ('siklon', 0.6814990043640137), ('taifun', 0.621314525604248), ('kabut', 0.599663496017456), ('ombak', 0.5936086177825928), ('petir', 0.5798951387405396), ('angin', 0.5797923803329468), ('banjir', 0.5553397536277771), ('terjangan', 0.5527578592300415), ('gerimis', 0.5445117950439453)]"
4,topan,"[('badai', 0.6982187032699585), ('siklon', 0.6476065516471863), ('taifun', 0.6187017560005188), ('ribut', 0.5929918885231018), ('katrina', 0.5652000904083252), ('terjangan', 0.5383265018463135), ('hurikan', 0.5376401543617249), ('tofano', 0.5319013595581055), ('tertiup', 0.5291736125946045), ('jtwc', 0.5201417207717896)]"
4,haiyan,"[('taifun', 0.5567342638969421), ('dupo', 0.5329896211624146), ('ferdie', 0.5145174264907837), ('bopha', 0.5133835077285767), ('saipan', 0.5124555230140686), ('ketsana', 0.5091851353645325), ('barrion', 0.5069865584373474), ('pijuan', 0.5055333971977234), ('tamaraw', 0.5052869915962219), ('rehe', 0.5029705762863159)]"
4,tornado,"[('panavia', 0.6715971827507019), ('hurikan', 0.6148926615715027), ('meteor', 0.6035113334655762), ('flare', 0.6021767854690552), ('bomber', 0.601737380027771), ('reconnaissance', 0.5873026847839355), ('gloster', 0.5852323174476624), ('typhoon', 0.5845239162445068), ('javelin', 0.5829017162322998), ('misil', 0.5805706977844238)]"
4,monsun,"[('muson', 0.7199274897575378), ('pancaroba', 0.6998531818389893), ('subtropis', 0.6363868117332458), ('bediding', 0.5924166440963745), ('subartik', 0.5892198085784912), ('penghujan', 0.5856414437294006), ('hujan', 0.5835175514221191), ('tropika', 0.5821573138237), ('siklon', 0.5795189738273621), ('hujannya', 0.5695543885231018)]"
4,tembin,"[('neoguri', 0.610231876373291), ('surges', 0.6001706719398499), ('kukis', 0.562588095664978), ('thinle', 0.5531397461891174), ('glareola', 0.5530946850776672), ('tejeda', 0.5522933602333069), ('subtropical', 0.5513642430305481), ('aliger', 0.5513290762901306), ('germination', 0.5469316244125366), ('blacktail', 0.5468288660049438)]"
5,tumbukan,"[('gesekan', 0.7199206948280334), ('resonansi', 0.7191947102546692), ('deformasi', 0.7156423330307007), ('kondensasi', 0.7008879780769348), ('akresi', 0.6924559473991394), ('tolakan', 0.69098299741745), ('tubrukan', 0.6876526474952698), ('elektrostatik', 0.682667076587677), ('friksi', 0.6716853380203247), ('tarikan', 0.6703040599822998)]"
5,bertabrakan,"[('bertumbukan', 0.7385883927345276), ('bersenggolan', 0.7269391417503357), ('berpapasan', 0.6928364634513855), ('menabrak', 0.6652581095695496), ('bertabrakkan', 0.6625904440879822), ('bentrok', 0.646318256855011), ('tabrakan', 0.6335707306861877), ('berhadapan', 0.6322769522666931), ('berbenturan', 0.6259477138519287), ('bersentuhan', 0.6138963103294373)]"
5,gesekan,"[('friksi', 0.8109227418899536), ('benturan', 0.7735525369644165), ('tarikan', 0.7375136017799377), ('turbulensi', 0.7252699136734009), ('getaran', 0.7227330207824707), ('tumbukan', 0.7199206948280334), ('pemuaian', 0.7116721272468567), ('deformasi', 0.6983174681663513), ('distorsi', 0.6789324283599854), ('tensi', 0.6749935150146484)]"
5,pengeboman,"[('pemboman', 0.8124328255653381), ('penembakan', 0.7014217972755432), ('penyerangan', 0.7001789212226868), ('penyerbuan', 0.6842441558837891), ('peledakan', 0.6712919473648071), ('serangan', 0.6704809665679932), ('pembantaian', 0.6640843749046326), ('bom', 0.6556929349899292), ('penggerebekan', 0.6262103915214539), ('pengepungan', 0.6251875162124634)]"
5,turbulensi,"[('pemuaian', 0.7590596675872803), ('deformasi', 0.7346512079238892), ('gesekan', 0.7252699136734009), ('fluktuasi', 0.7020258903503418), ('pendinginan', 0.701849102973938), ('friksi', 0.6967522501945496), ('penumpukan', 0.6893981695175171), ('vibrasi', 0.6885076761245728), ('statik', 0.6843122243881226), ('eksitasi', 0.6838520169258118)]"
5,perlambatan,"[('lonjakan', 0.710722804069519), ('fluktuasi', 0.69587641954422), ('percepatan', 0.6938104629516602), ('penyusutan', 0.684039831161499), ('turbulensi', 0.6808103322982788), ('deformasi', 0.6662366390228271), ('stagnasi', 0.6577419638633728), ('pemuaian', 0.6512459516525269), ('malafungsi', 0.6431674361228943), ('penurunan', 0.640760600566864)]"
5,melambat,"[('mengecil', 0.6786686778068542), ('menyusut', 0.6778336763381958), ('berkurang', 0.6611897349357605), ('diperlambat', 0.655697226524353), ('menurun', 0.6476033329963684), ('menipis', 0.6410566568374634), ('melemah', 0.6374508142471313), ('berkontraksi', 0.6349798440933228), ('membesar', 0.632659375667572), ('meninggi', 0.6306324601173401)]"
5,kelelahan,"[('stres', 0.7292397022247314), ('kedinginan', 0.7147071361541748), ('kesakitan', 0.7048226594924927), ('muntah', 0.7008365392684937), ('lumpuh', 0.6893928050994873), ('syok', 0.6812649965286255), ('penyakitnya', 0.6795381903648376), ('berkeringat', 0.6769206523895264), ('lelah', 0.6661468744277954), ('mengantuk', 0.6617066264152527)]"
5,anjlok,"[('anjloknya', 0.678012490272522), ('terguling', 0.6542773842811584), ('macet', 0.5780839323997498), ('tergelincir', 0.566036581993103), ('cirahayu', 0.5595481991767883), ('jalurnya', 0.5534293055534363), ('krd', 0.5532708764076233), ('gundih', 0.5531947016716003), ('perlintasan', 0.5516619682312012), ('menikung', 0.5487549304962158)]"
5,tersendat,"[('sendat', 0.6929689049720764), ('tertunda', 0.6627840995788574), ('terhenti', 0.650467038154602), ('terhambat', 0.6304884552955627), ('terkendala', 0.5816230773925781), ('goyah', 0.5707582831382751), ('menganggur', 0.5681352019309998), ('macet', 0.5674574971199036), ('frustasi', 0.5524622797966003), ('membaik', 0.5524352788925171)]"
5,banjirnya,"[('meluapnya', 0.6516577005386353), ('rawapening', 0.608086109161377), ('songhua', 0.6017877459526062), ('vÃ¡h', 0.5967771410942078), ('peluapan', 0.5781612992286682), ('suktimati', 0.5674744844436646), ('meluap', 0.5656721591949463), ('cikandang', 0.5621092319488525), ('luapan', 0.5617483854293823), ('vltava', 0.5610584616661072)]"
5,supervulkan,"[('kaldera', 0.6671513915061951), ('kilauea', 0.6589358448982239), ('nyiragongo', 0.6477152705192566), ('plinian', 0.6236398816108704), ('freatik', 0.6186294555664062), ('subglasial', 0.6118030548095703), ('riolitik', 0.6113823056221008), ('vei', 0.610901415348053), ('sorik', 0.6101963520050049), ('stratovulkan', 0.6041656136512756)]"
5,pinatubo,"[('rushmore', 0.715783953666687), ('rogojembangan', 0.715546190738678), ('elgon', 0.7142077684402466), ('dukono', 0.7101356387138367), ('cikuray', 0.7085003852844238), ('sinabung', 0.7015832662582397), ('bosavi', 0.6996587514877319), ('wurlali', 0.6971102952957153), ('malindang', 0.6962737441062927), ('paektu', 0.687244176864624)]"
5,tertiup,"[('sepoi', 0.7452124953269958), ('anginan', 0.7445310354232788), ('bertiup', 0.7289730310440063), ('ribut', 0.7280840873718262), ('tiupan', 0.713381826877594), ('hembusan', 0.7130002975463867), ('terpaan', 0.7002904415130615), ('kencang', 0.6990616917610168), ('semilir', 0.695960521697998), ('ditiup', 0.6906434893608093)]"
5,sepoi,"[('semilir', 0.7705299258232117), ('anginan', 0.7544295787811279), ('tertiup', 0.7452126145362854), ('windbreak', 0.7013411521911621), ('bertiup', 0.7002535462379456), ('ribut', 0.6836813688278198), ('terpaan', 0.6792373657226562), ('berhembusnya', 0.6779002547264099), ('pasat', 0.6740871071815491), ('perangin', 0.6720070838928223)]"
5,anginan,"[('perangin', 0.7604359984397888), ('sepoi', 0.7544294595718384), ('tertiup', 0.7445310950279236), ('semilir', 0.7232621312141418), ('ribut', 0.6934783458709717), ('terpaan', 0.6667733192443848), ('sakal', 0.6571051478385925), ('hajopan', 0.6553425788879395), ('pengejar', 0.6413418054580688), ('berhembusnya', 0.6380975246429443)]"
5,semilir,"[('sepoi', 0.7705298662185669), ('anginan', 0.7232621908187866), ('tertiup', 0.6959605813026428), ('pasat', 0.6839674711227417), ('windbreak', 0.666634738445282), ('terpaan', 0.6635335683822632), ('fohn', 0.6464734673500061), ('perangin', 0.6462650895118713), ('anemokori', 0.6458529829978943), ('berembus', 0.6448712348937988)]"
5,perangin,"[('anginan', 0.7604359984397888), ('hajopan', 0.6931425333023071), ('tertiup', 0.6891189813613892), ('pengejar', 0.6842882037162781), ('pendjuru', 0.6841582655906677), ('sepoi', 0.6720070242881775), ('berhembusnya', 0.6617066264152527), ('sakal', 0.6603714823722839), ('semilir', 0.6462650299072266), ('embusan', 0.6399815678596497)]"
5,windbreak,"[('sepoi', 0.7013410329818726), ('anemokori', 0.6741597056388855), ('pasat', 0.6702269911766052), ('barap', 0.66840660572052), ('semilir', 0.666634738445282), ('tertiup', 0.6514220237731934), ('anginan', 0.6378637552261353), ('terpaan', 0.6364834308624268), ('perangin', 0.6244571805000305), ('diangin', 0.6141777038574219)]"
5,bertiup,"[('tertiup', 0.7289730310440063), ('berhembus', 0.7182939648628235), ('sepoi', 0.7002534866333008), ('tiupan', 0.6595494747161865), ('angin', 0.6515545845031738), ('hembusan', 0.6401157975196838), ('terpaan', 0.6359031200408936), ('muson', 0.6355375647544861), ('kencang', 0.6275274753570557), ('berangin', 0.6209412813186646)]"
5,hembusan,"[('tiupan', 0.7792137265205383), ('tertiup', 0.7130002975463867), ('kencang', 0.6788657307624817), ('ribut', 0.6637833714485168), ('embusan', 0.6589292883872986), ('ombak', 0.6513598561286926), ('angin', 0.6481773257255554), ('sepoi', 0.6471429467201233), ('bertiup', 0.6401157379150391), ('getaran', 0.63526451587677)]"
5,tiupan,"[('hembusan', 0.7792136669158936), ('ribut', 0.7135622501373291), ('tertiup', 0.713381826877594), ('kencang', 0.7099213600158691), ('ditiup', 0.6806984543800354), ('menderu', 0.6668192744255066), ('bertiup', 0.6595494151115417), ('embusan', 0.6534359455108643), ('sepoi', 0.6510120034217834), ('meniup', 0.6383132934570312)]"
5,tersambar,"[('sambaran', 0.8753736615180969), ('disambar', 0.8599725365638733), ('petir', 0.7328181266784668), ('__', 0.6713325381278992), ('sepandjang', 0.6559123396873474), ('menyambar', 0.6377914547920227), ('kilatan', 0.5892925262451172), ('diterjang', 0.5299057364463806), ('terjangan', 0.5241174697875977), ('tertimpa', 0.5204373598098755)]"
5,disambar,"[('tersambar', 0.8599725961685181), ('sambaran', 0.7716441750526428), ('menyambar', 0.746360182762146), ('petir', 0.7391656041145325), ('sepandjang', 0.6261972784996033), ('tertusuk', 0.5996869802474976), ('__', 0.5810648798942566), ('bagaikan', 0.5796173214912415), ('kilatan', 0.577944815158844), ('mengamuk', 0.553918182849884)]"
5,petir,"[('sambaran', 0.755416989326477), ('disambar', 0.7391656041145325), ('tersambar', 0.7328181862831116), ('kilatan', 0.6568394303321838), ('menyambar', 0.6452578902244568), ('kilat', 0.6238946914672852), ('sepandjang', 0.5973307490348816), ('halilintar', 0.5880686044692993), ('badai', 0.5798951387405396), ('percikan', 0.5750337243080139)]"
5,kilat,"[('petir', 0.6238946914672852), ('kilatan', 0.6168752908706665), ('sambaran', 0.5515700578689575), ('menyambar', 0.5458692908287048), ('alarm', 0.5453624129295349), ('disambar', 0.5198979377746582), ('senter', 0.512406587600708), ('tiupan', 0.49928945302963257), ('meniup', 0.49221640825271606), ('halilintar', 0.492019921541214)]"
5,kegempaan,"[('seismik', 0.6761621236801147), ('klimatologi', 0.6635183691978455), ('vulkanisme', 0.6130883097648621), ('geomorfologi', 0.608535647392273), ('seismologi', 0.6077632308006287), ('tektonik', 0.5981336236000061), ('geofisika', 0.5947346687316895), ('vulkanologi', 0.5861935019493103), ('geodesi', 0.5812544822692871), ('stratigrafi', 0.5752860307693481)]"
5,geologis,"[('geologi', 0.7454507350921631), ('stratigrafi', 0.7418567538261414), ('geomorfologi', 0.7381619811058044), ('tektonik', 0.6806240081787109), ('astronomis', 0.67093825340271), ('topografis', 0.656305193901062), ('endogenik', 0.6524644494056702), ('morfologis', 0.6487898230552673), ('alamiah', 0.6277225613594055), ('topografi', 0.6274070739746094)]"
5,pemetaan,"[('pemantauan', 0.7041338682174683), ('pemodelan', 0.6861975789070129), ('geodesi', 0.6667836904525757), ('pelacakan', 0.6657655239105225), ('analisis', 0.6385291814804077), ('pengukuran', 0.6376830339431763), ('visualisasi', 0.6376361846923828), ('pendataan', 0.6368955373764038), ('analisa', 0.6253257989883423), ('observasi', 0.6244274973869324)]"
5,geodetik,"[('astrometri', 0.623206615447998), ('angular', 0.6182321310043335), ('seismik', 0.6156283617019653), ('geodesi', 0.6143917441368103), ('stokastik', 0.6095855832099915), ('paralaks', 0.6093568801879883), ('astronomis', 0.6068090200424194), ('cartesius', 0.6062280535697937), ('spasial', 0.6047816872596741), ('stratigrafi', 0.6036913394927979)]"
5,subduksi,"[('patahan', 0.8110222220420837), ('tektonik', 0.791200578212738), ('penunjaman', 0.7893481254577637), ('sesar', 0.7510281801223755), ('lempeng', 0.715758204460144), ('vulkanisme', 0.6933923959732056), ('perlapisan', 0.6671903133392334), ('palung', 0.6460629105567932), ('gunungapi', 0.6379669308662415), ('deformasi', 0.6322654485702515)]"
5,refraksi,"[('pembiasan', 0.803983747959137), ('polarisasi', 0.7874535322189331), ('aberasi', 0.7735206484794617), ('difraksi', 0.7679966688156128), ('pemantulan', 0.7561699748039246), ('hamburan', 0.7542353868484497), ('vibrasi', 0.7179383635520935), ('absorpsi', 0.7156309485435486), ('regangan', 0.7110230922698975), ('amplitudo', 0.699221134185791)]"
5,lempeng,"[('tektonik', 0.7438281774520874), ('patahan', 0.7409218549728394), ('subduksi', 0.715758204460144), ('sesar', 0.69209885597229), ('kerak', 0.6321026086807251), ('cekungan', 0.6190691590309143), ('menunjam', 0.6188631653785706), ('tektonika', 0.615816593170166), ('palung', 0.6071714162826538), ('litosfer', 0.6062889695167542)]"
5,tektonika,"[('tektonik', 0.7408828735351562), ('petrologi', 0.6712222099304199), ('sedimentologi', 0.6582474112510681), ('vulkanologi', 0.626602828502655), ('subduksi', 0.6171079277992249), ('lempeng', 0.6158165335655212), ('geomorfologi', 0.5967154502868652), ('geologi', 0.5930749773979187), ('nazca', 0.5923321843147278), ('glasiologi', 0.5847485661506653)]"
5,semangko,"[('patahan', 0.6497962474822998), ('gunungapi', 0.6462157368659973), ('sesar', 0.6194347739219666), ('tektonik', 0.6124250292778015), ('volkanik', 0.6039118766784668), ('subduction', 0.6036509275436401), ('antiklinorium', 0.5940840244293213), ('breksi', 0.5859377980232239), ('solfatara', 0.5815473794937134), ('orogenik', 0.5798346996307373)]"
5,fluvial,"[('endoreik', 0.6445087790489197), ('titicaca', 0.6406491994857788), ('songhua', 0.6372584104537964), ('estuaria', 0.6294872164726257), ('vÃ¡h', 0.6285544037818909), ('itzÃ¡', 0.6255834102630615), ('playa', 0.6253652572631836), ('bÃ­o', 0.6253362894058228), ('baikal', 0.6237634420394897), ('douro', 0.6225967407226562)]"
5,estuari,"[('estuaria', 0.6454052329063416), ('basin', 0.6236721873283386), ('gletser', 0.6157160401344299), ('aluvial', 0.6052828431129456), ('fluvial', 0.604996383190155), ('endoreik', 0.5849367380142212), ('glasier', 0.584739625453949), ('meander', 0.5841379761695862), ('akuifer', 0.5745746493339539), ('sedimen', 0.5744656324386597)]"
5,terbawa,"[('terseret', 0.7843582034111023), ('tersedot', 0.7243877053260803), ('hanyut', 0.7132983803749084), ('dihanyutkan', 0.6883851885795593), ('tersapu', 0.6756319999694824), ('tertahan', 0.6597035527229309), ('diseret', 0.6584296822547913), ('terhanyut', 0.6478477120399475), ('terlempar', 0.6434391736984253), ('dipompa', 0.6412829160690308)]"
5,tersangkut,"[('tertusuk', 0.7295277714729309), ('tersandung', 0.7185240983963013), ('terjatuh', 0.6918222904205322), ('tertimpa', 0.6461849808692932), ('robek', 0.6458700895309448), ('tertancap', 0.6457576751708984), ('merobek', 0.644894540309906), ('menggigit', 0.6341208815574646), ('terjerat', 0.631100594997406), ('menabrak', 0.6307029128074646)]"
5,luluh,"[('lantak', 0.658878743648529), ('remuk', 0.6288946270942688), ('kepanasan', 0.596440851688385), ('panik', 0.5963831543922424), ('sakitnya', 0.5962697267532349), ('berantakan', 0.587449312210083), ('gundah', 0.5834712386131287), ('cemburu', 0.5808932185173035), ('bersedih', 0.578050434589386), ('ulah', 0.5774427652359009)]"
5,tropis,"[('subtropis', 0.8166507482528687), ('tropika', 0.7826213836669922), ('beriklim', 0.7146916389465332), ('tropik', 0.701889157295227), ('sabana', 0.6654579043388367), ('iklim', 0.6634811162948608), ('vegetasi', 0.6536781787872314), ('siklon', 0.653379499912262), ('endemik', 0.6273098587989807), ('ekoregion', 0.617087185382843)]"
5,muson,"[('monsun', 0.7199274301528931), ('pancaroba', 0.6519752740859985), ('siklon', 0.6383528113365173), ('bertiup', 0.6355374455451965), ('tropis', 0.6134158968925476), ('beriklim', 0.5990304350852966), ('subtropis', 0.5962973237037659), ('sepoi', 0.5841566324234009), ('iklim', 0.5829081535339355), ('berhembus', 0.5777009129524231)]"
5,jtwc,"[('jma', 0.6529819965362549), ('siklon', 0.6282274127006531), ('pagasa', 0.5783379673957825), ('badai', 0.5410565733909607), ('topan', 0.5201417207717896), ('khanun', 0.5193498134613037), ('bopha', 0.4813762307167053), ('taifun', 0.4721324145793915), ('antisiklon', 0.4558578133583069), ('ferdie', 0.4541606903076172)]"
5,subtropis,"[('tropis', 0.8166508078575134), ('tropika', 0.8097780346870422), ('beriklim', 0.766725480556488), ('sabana', 0.7387279272079468), ('tropik', 0.717621922492981), ('subtropika', 0.7070604562759399), ('vegetasi', 0.6848284006118774), ('berhutan', 0.6468565464019775), ('savana', 0.6467059850692749), ('boreal', 0.6400254964828491)]"
5,antisiklon,"[('siklon', 0.546099841594696), ('arktik', 0.5291444659233093), ('basin', 0.5223064422607422), ('baikal', 0.5088096261024475), ('artik', 0.5064525008201599), ('tundra', 0.5058149695396423), ('arktika', 0.49887654185295105), ('harengus', 0.4969364106655121), ('fjord', 0.49523985385894775), ('taifun', 0.4938931167125702)]"
5,cyclone,"[('flare', 0.6739048361778259), ('javelin', 0.6500282883644104), ('trigger', 0.6382228136062622), ('hurricane', 0.6358782649040222), ('beam', 0.6353845596313477), ('supersonic', 0.6315774321556091), ('overdrive', 0.6291663646697998), ('tow', 0.6253618597984314), ('blast', 0.6253337264060974), ('clutch', 0.6243894100189209)]"
5,flare,"[('beam', 0.745951235294342), ('detector', 0.7144178748130798), ('burst', 0.6761410236358643), ('blast', 0.6748205423355103), ('laser', 0.6744813919067383), ('cyclone', 0.6739048361778259), ('thermal', 0.673843502998352), ('magnetic', 0.6725417971611023), ('vortex', 0.6700035333633423), ('booster', 0.6626352071762085)]"
5,hurricane,"[('chouninpuu', 0.7232323884963989), ('chameleon', 0.7020848989486694), ('gokai', 0.6985976099967957), ('thunder', 0.6882628202438354), ('crusher', 0.6721910238265991), ('zord', 0.6701874732971191), ('captor', 0.6668462157249451), ('valkyrie', 0.6622623205184937), ('claw', 0.6591858267784119), ('blaze', 0.6577476859092712)]"
5,kabut,"[('embun', 0.6724770665168762), ('asap', 0.6691620349884033), ('berkabut', 0.6609141230583191), ('awan', 0.6301626563072205), ('debu', 0.6262362599372864), ('mengepul', 0.6034038066864014), ('badai', 0.5996635556221008), ('gerimis', 0.5958610773086548), ('salju', 0.5925914645195007), ('kepulan', 0.5801013112068176)]"
5,ombak,"[('ombaknya', 0.6891409754753113), ('hembusan', 0.6513599157333374), ('angin', 0.6164537072181702), ('ribut', 0.5983583927154541), ('badai', 0.5936086177825928), ('kencang', 0.5824063420295715), ('menerjang', 0.5819390416145325), ('abrasi', 0.5764819383621216), ('bebatuan', 0.5758639574050903), ('arusnya', 0.5754764676094055)]"
5,angin,"[('bertiup', 0.6515546441078186), ('hembusan', 0.6481773257255554), ('tertiup', 0.6326693892478943), ('sepoi', 0.6314693689346313), ('tiupan', 0.6196082234382629), ('ombak', 0.6164537072181702), ('terpaan', 0.5800210237503052), ('badai', 0.5797923803329468), ('ribut', 0.5766053199768066), ('kencang', 0.5763346552848816)]"
5,gerimis,"[('embun', 0.6755208969116211), ('rintik', 0.6620927453041077), ('senandung', 0.641735851764679), ('deru', 0.6260706186294556), ('senyummu', 0.6208428740501404), ('tangis', 0.6186984181404114), ('prahara', 0.6093974113464355), ('jantungku', 0.6026380062103271), ('jeritan', 0.5992236733436584), ('yockie', 0.5964720249176025)]"
5,katrina,"[('kaif', 0.6578125953674316), ('nargis', 0.5974059700965881), ('trisha', 0.592798113822937), ('dutta', 0.5802083611488342), ('ranaut', 0.579712450504303), ('priyanka', 0.5773522853851318), ('kidnap', 0.5755802989006042), ('kangana', 0.5726542472839355), ('bhola', 0.5700321793556213), ('ayesha', 0.5686737298965454)]"
5,tofano,"[('rafid', 0.6405004262924194), ('umay', 0.533824622631073), ('jflow', 0.5336759090423584), ('topan', 0.5319013595581055), ('zarro', 0.5179564952850342), ('fairuz', 0.5171627998352051), ('zakia', 0.5030192136764526), ('yunita', 0.5000394582748413), ('soulvibe', 0.4998365640640259), ('atilia', 0.49812477827072144)]"
