tingkat setelah parent,parent,similarity
3,ledakan,"[('tabrakan', 0.6787225008010864), ('guncangan', 0.6616252064704895), ('letusan', 0.6614747047424316), ('kebakaran', 0.6575783491134644), ('semburan', 0.644906759262085), ('meledak', 0.6421293020248413), ('kebocoran', 0.6397943496704102), ('peledakan', 0.6224795579910278), ('erupsi', 0.6147971749305725), ('bom', 0.6061505079269409)]"
3,mengguncang,"[('melanda', 0.7312303185462952), ('diguncang', 0.6645016074180603), ('dilanda', 0.6286627054214478), ('menerpa', 0.5891726016998291), ('menghantam', 0.574303150177002), ('meletus', 0.5490998029708862), ('gempa', 0.544715940952301), ('diterjang', 0.5348866581916809), ('menerjang', 0.5298652648925781), ('lantakkan', 0.5158651471138)]"
3,pascagempa,"[('tsunami', 0.5359630584716797), ('gempa', 0.5174663066864014), ('diterjang', 0.4947444796562195), ('bencana', 0.49339285492897034), ('pemadaman', 0.4922291040420532), ('terjangan', 0.4850718677043915), ('ledakan', 0.4765295088291168), ('susulan', 0.4703965485095978), ('guncangan', 0.45778077840805054), ('kebakaran', 0.45550650358200073)]"
3,pengikisan,"[('erosi', 0.7993384003639221), ('pengendapan', 0.7521161437034607), ('sedimentasi', 0.7507016062736511), ('pelapukan', 0.7347182035446167), ('abrasi', 0.7283516526222229), ('pendangkalan', 0.7167893052101135), ('penyusutan', 0.7130582332611084), ('deformasi', 0.6730290055274963), ('longsor', 0.6588835120201111), ('rusaknya', 0.6552332043647766)]"
3,abrasi,"[('erosi', 0.8129387497901917), ('sedimentasi', 0.737647294998169), ('pengikisan', 0.7283516526222229), ('pendangkalan', 0.7263917922973633), ('pengendapan', 0.6895473003387451), ('penggenangan', 0.6628919839859009), ('rusaknya', 0.6488355398178101), ('longsor', 0.6388352513313293), ('kekeringan', 0.6378408670425415), ('korosi', 0.6350706219673157)]"
3,sedimentasi,"[('erosi', 0.8297510743141174), ('pengendapan', 0.8229808211326599), ('pendangkalan', 0.8040847778320312), ('pelapukan', 0.7789402008056641), ('pengikisan', 0.7507016658782959), ('penguapan', 0.7420699596405029), ('abrasi', 0.737647294998169), ('eutrofikasi', 0.7306134700775146), ('penyusutan', 0.7283624410629272), ('sedimen', 0.7116628289222717)]"
3,terbakar,"[('hancur', 0.7045629024505615), ('meledak', 0.7041706442832947), ('dibakar', 0.6776916980743408), ('roboh', 0.6764991283416748), ('menghanguskan', 0.6712096333503723), ('rusak', 0.6568196415901184), ('membakar', 0.6541965007781982), ('membakarnya', 0.6421394944190979), ('ambruk', 0.6400607824325562), ('menyala', 0.63770592212677)]"
3,kebocoran,"[('penumpukan', 0.7242450714111328), ('kontaminasi', 0.7072193622589111), ('dekompresi', 0.6655019521713257), ('tabrakan', 0.650811493396759), ('korsleting', 0.6428479552268982), ('kelangkaan', 0.6402028203010559), ('ledakan', 0.6397944092750549), ('malafungsi', 0.6392256021499634), ('pemuaian', 0.6349465847015381), ('pencairan', 0.6318700313568115)]"
3,tertimbun,"[('terkubur', 0.7523393630981445), ('longsor', 0.7117583155632019), ('ditimbun', 0.6876602172851562), ('terendam', 0.6833324432373047), ('tererosi', 0.6644992232322693), ('diselimuti', 0.6532796621322632), ('amblas', 0.6525807976722717), ('diratakan', 0.650922954082489), ('roboh', 0.6501812934875488), ('berserakan', 0.6420625448226929)]"
3,longsoran,"[('retakan', 0.717181921005249), ('longsor', 0.7116908431053162), ('jatuhan', 0.7062911987304688), ('vulkanik', 0.7003570795059204), ('freatik', 0.6912353038787842), ('erosi', 0.6865699291229248), ('lahar', 0.6783717274665833), ('piroklastik', 0.6733056306838989), ('glasier', 0.6694404482841492), ('lava', 0.6657078862190247)]"
3,amblas,"[('longsor', 0.6559627652168274), ('tertimbun', 0.6525806784629822), ('subsiden', 0.6225611567497253), ('longsoran', 0.5808289647102356), ('jebol', 0.5575306415557861), ('pendangkalan', 0.5501636862754822), ('roboh', 0.5464200973510742), ('berlumpur', 0.5455743670463562), ('sedalam', 0.5380846858024597), ('salinisasi', 0.5324286818504333)]"
3,subsiden,"[('salinisasi', 0.7925160527229309), ('manupeu', 0.6850255131721497), ('bencah', 0.6795108318328857), ('badatu', 0.6696616411209106), ('liatnya', 0.6682513356208801), ('rhodostoma', 0.6551030874252319), ('novaeseelandiae', 0.6544130444526672), ('sareal', 0.6482697129249573), ('longsor', 0.643058180809021), ('organosol', 0.6385669708251953)]"
3,terjangan,"[('diterjang', 0.7639209628105164), ('hantaman', 0.6518606543540955), ('dihantam', 0.6316251158714294), ('terpaan', 0.6160893440246582), ('taifun', 0.6113342642784119), ('guncangan', 0.6025983691215515), ('tsunami', 0.597658634185791), ('menerjang', 0.5917103290557861), ('sambaran', 0.5898361802101135), ('imbas', 0.5810922384262085)]"
3,gempabumi,"[('freatik', 0.6259613633155823), ('seismik', 0.6023386120796204), ('tektonik', 0.5980112552642822), ('terjangan', 0.5765935182571411), ('longsoran', 0.569688618183136), ('vulkanisme', 0.5679331421852112), ('tsunami', 0.5609593987464905), ('sesar', 0.5522934794425964), ('upwelling', 0.5462217330932617), ('patahan', 0.5457056164741516)]"
3,diterjang,"[('terjangan', 0.7639209628105164), ('dihantam', 0.7267325520515442), ('menerjang', 0.6884691119194031), ('tersapu', 0.6823346614837646), ('tertimpa', 0.6816259026527405), ('lantak', 0.6670975089073181), ('diguncang', 0.6462567448616028), ('menerpa', 0.641629159450531), ('menghantam', 0.6387216448783875), ('terhempas', 0.6364015340805054)]"
3,taifun,"[('siklon', 0.6532624959945679), ('hurikan', 0.6468179225921631), ('badai', 0.6213144063949585), ('topan', 0.6187016367912292), ('terjangan', 0.6113343238830566), ('haiyan', 0.5567343235015869), ('tsunami', 0.5476126074790955), ('tornado', 0.5412967205047607), ('monsun', 0.5334583520889282), ('tembin', 0.5325930118560791)]"
