tingakt,parent,similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,tenis,"[('bulutangkis', 0.6726641058921814), ('atletik', 0.645324170589447), ('biliar', 0.6402856111526489), ('tennis', 0.638934850692749), ('sofbol', 0.6330745816230774), ('golf', 0.6213833093643188), ('anggar', 0.6090376973152161), ('curling', 0.6040852069854736), ('tangkis', 0.5950734615325928), ('hoki', 0.5907297134399414)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
3,judo,"[('karate', 0.8040319085121155), ('kendo', 0.7975373268127441), ('wushu', 0.7753668427467346), ('jujitsu', 0.7748525738716125), ('taekwondo', 0.7585570812225342), ('jujutsu', 0.7257276773452759), ('aikido', 0.7207024097442627), ('panahan', 0.7195093035697937), ('anggar', 0.7146870493888855), ('kickboxing', 0.7128762602806091)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
3,taekwondo,"[('futsal', 0.787376344203949), ('badminton', 0.7675220966339111), ('wushu', 0.765533983707428), ('judo', 0.7585570812225342), ('karate', 0.757720947265625), ('bulutangkis', 0.7568857073783875), ('gymnastic', 0.7508440613746643), ('jujitsu', 0.7461189031600952), ('softball', 0.736798882484436), ('marawis', 0.7342910170555115)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
3,wushu,"[('judo', 0.7753668427467346), ('taekwondo', 0.765533983707428), ('karate', 0.74620121717453), ('bulutangkis', 0.7241256833076477), ('jujitsu', 0.7007265090942383), ('panahan', 0.6858689785003662), ('jitsu', 0.6783175468444824), ('binaraga', 0.666231632232666), ('petanque', 0.6601846218109131), ('kejurnas', 0.6566944718360901)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
3,paralayang,"[('selancar', 0.6874707937240601), ('panahan', 0.685653805732727), ('ski', 0.671208918094635), ('bersepeda', 0.6275172233581543), ('bmx', 0.6262850165367126), ('panjat', 0.6053101420402527), ('senam', 0.5994190573692322), ('seluncur', 0.5975638628005981), ('atletik', 0.590168833732605), ('outbond', 0.5763601660728455)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
3,beregu,"[('recurve', 0.6861284375190735), ('panahan', 0.6717510223388672), ('changquan', 0.6688446402549744), ('downhill', 0.6448167562484741), ('kejurnas', 0.6431066393852234), ('perorangan', 0.6414244771003723), ('skating', 0.6411641240119934), ('estafet', 0.6364800333976746), ('bulutangkis', 0.6311390399932861), ('taijijian', 0.629813015460968)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
3,boling,"[('billiard', 0.717705488204956), ('bulutangkis', 0.7109487056732178), ('softball', 0.698137104511261), ('biliar', 0.6912345290184021), ('sofbol', 0.6911783814430237), ('squash', 0.6701690554618835), ('snooker', 0.669740617275238), ('panahan', 0.6643929481506348), ('volley', 0.652311384677887), ('bilyard', 0.6482549905776978)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
3,tinju,"[('gulat', 0.7898604273796082), ('petinju', 0.6763019561767578), ('judo', 0.6711887121200562), ('binaraga', 0.6424566507339478), ('wushu', 0.6155860424041748), ('atletik', 0.601937472820282), ('kejuaran', 0.5844893455505371), ('panahan', 0.5788512229919434), ('yunior', 0.5742543935775757), ('kumite', 0.5714894533157349)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
3,kickboxing,"[('judo', 0.7128761410713196), ('muay', 0.6563490033149719), ('gymnastic', 0.6235174536705017), ('taekwondo', 0.6214972734451294), ('gulat', 0.6159370541572571), ('jujitsu', 0.6105949282646179), ('karate', 0.6090937256813049), ('softball', 0.6037947535514832), ('kendo', 0.6027792096138), ('badminton', 0.5935449600219727)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
3,pankration,"[('gulat', 0.6065281629562378), ('mma', 0.5832770466804504), ('ssireum', 0.538905680179596), ('isthmia', 0.517774760723114), ('ufc', 0.5139689445495605), ('judo', 0.507518470287323), ('triatlon', 0.4949894845485687), ('gladiator', 0.4940354824066162), ('tenkaichi', 0.48963913321495056), ('atletik', 0.4867015480995178)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
3,mma,"[('wushu', 0.6126043796539307), ('judo', 0.6101672649383545), ('gulat', 0.6024068593978882), ('binaraga', 0.5919713973999023), ('softball', 0.5860604047775269), ('pankration', 0.5832770466804504), ('boxing', 0.5817029476165771), ('basketball', 0.5816621780395508), ('ufc', 0.5762640833854675), ('sofbol', 0.5756270885467529)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
